No,Account No.,Bill Due Date,Transaction Date,Bill Category,Bill Cycle/Group,Sub Division,Amount Paid,Amount in Words,Payment Status
1,Z74ZT695396H,23 JAN 2019,11 JAN 2019,DS,5/4,ZIRAKPUR,3430/-,Three Thousand Four Hundred Thirty Rupees Only,Amount is subject to Realisation
2,Z74ZT695396H,25 MAR 2019,12 MAR 2019,DS,6/4,ZIRAKPUR,1340/-,One Thousand Three Hundred Forty Rupees Only,Amount is subject to Realisation
4,Z74ZT695396H,30 JUL 2019,22 JUL 2019,DS,2/4,ZIRAKPUR,5590/-,Five Thousand Five Hundred Ninety Rupees Only,Amount is subject to Realisation
6,Z74ZT695396H,02 DEC 2019,19 NOV 2019,DS,4/4,ZIRAKPUR,4230/-,Four Thousand Two Hundred Thirty Rupees Only,Amount is subject to Realisation
7,Z74ZT695396H,03 FEB 2020,28 JAN 2020,DS,5/4,ZIRAKPUR,4090/-,Four Thousand Ninety Rupees Only,Amount is subject to Realisation
9,Z74ZT695396H,01 JUN 2020,26 MAY 2020,DS,1/4,ZIRAKPUR,2070/-,Two Thousand Seventy Rupees Only,Amount is subject to Realisation
10,Z74ZT695396H,03 AUG 2020,22 JUL 2020,DS,02/4,ZIRAKPUR,4290/-,Four Thousand Two Hundred Ninety Rupees Only,Amount is subject to Realisation
11,Z74ZT695396H,(ADVANCE PAYMENT),22 SEP 2020,DS,0/4,ZIRAKPUR,5110/-,Five Thousand One Hundred Ten Rupees Only,Amount is subject to Realisation
12,Z74ZT695396H,(ADVANCE PAYMENT),19 OCT 2020,DS,0/4,ZIRAKPUR,501/-,Five Hundred One Rupees Only,Amount Realised
13,Z74ZT695396H,24 NOV 2020,17 NOV 2020,DS,4/4,ZIRAKPUR,6170/-,Six Thousand One Hundred Seventy Rupees Only,Amount is subject to Realisation
14,Z74ZT695396H,01 FEB 2021,29 JAN 2021,DS,5/4,ZIRAKPUR,4260/-,Four Thousand Two Hundred Sixty Rupees Only,Amount is subject to Realisation
16,3007218328,30 JUN 2021,18 JUN 2021,DS/GEN,1/-1,ZIRAKPUR,4770/-,Four Thousand Seven Hundred Seventy Rupees Only,Amount Realised
17,3007218328,08 OCT 2021,24 SEP 2021,DS/GEN,2/-1,ZIRAKPUR,13850/-,Thirteen Thousand Eight Hundred Fifty Rupees Only,Amount Realised
19,3007218328,09 DEC 2021,29 NOV 2021,DS/GEN,4/-1,ZIRAKPUR,4700/-,Four Thousand Seven Hundred Rupees Only,Amount Realised
20,3007218328,21 FEB 2022,08 FEB 2022,DS/GEN,5/-1,ZIRAKPUR,6110/-,Six Thousand One Hundred Ten Rupees Only,Amount Realised
22,3007218328,08 JUN 2022,30 MAY 2022,DS/GEN,1/-1,ZIRAKPUR,10910/-,Ten Thousand Nine Hundred Ten Rupees Only,Amount Realised
23,3007218328,16 AUG 2022,11 AUG 2022,DS/GEN,2/4,ZIRAKPUR,9220/-,Nine Thousand Two Hundred Twenty Rupees Only,Amount Realised
24,3007218328,10 NOV 2022,01 NOV 2022,DS/GEN,3/4,ZIRAKPUR,9380/-,Nine Thousand Three Hundred Eighty Rupees Only,Amount Realised
25,3007218328,19 DEC 2022,06 DEC 2022,DS/GEN,4/4,ZIRAKPUR,2500/-,Two Thousand Five Hundred Rupees Only,Amount Realised
26,3007218328,(ADVANCE PAYMENT),15 FEB 2023,DS DOMESTIC FOR DPC,0/1,ZIRAKPUR,11426/-,Eleven Thousand Four Hundred Twenty Six Rupees Only,Amount is subject to realisation
27,3007218328,(ADVANCE / PART PAYMENT),13 APR 2023,DS,0/0,ZIRAKPUR,956/-,Nine Hundred Fifty Six Rupees Only,Amount is subject to realisation
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
